nuclides,reactions,groups,xs
I135,"(n,gamma)",1,135.9398293848528
I135,"(n,gamma)",2,85.34930026592058
I135,"(n,gamma)",3,67.26483091442843
I135,"(n,gamma)",4,57.083351429642285
I135,"(n,gamma)",5,48.76808465697259
I135,"(n,gamma)",6,42.57300446223502
I135,"(n,gamma)",7,37.072593923594454
I135,"(n,gamma)",8,31.94744166745224
I135,"(n,gamma)",9,28.516785611535134
I135,"(n,gamma)",10,25.514150100435
I135,"(n,gamma)",11,22.653043770573404
I135,"(n,gamma)",12,18.55839074552099
I135,"(n,gamma)",13,14.847515500685352
I135,"(n,gamma)",14,13.319433300077618
I135,"(n,gamma)",15,12.886078758087631
I135,"(n,gamma)",16,12.652581545060585
I135,"(n,gamma)",17,12.25975353944127
I135,"(n,gamma)",18,11.904406151652221
I135,"(n,gamma)",19,11.405313397590948
I135,"(n,gamma)",20,10.667279193586918
I135,"(n,gamma)",21,9.754717846107562
I135,"(n,gamma)",22,8.946398076187716
I135,"(n,gamma)",23,8.220286641881856
I135,"(n,gamma)",24,7.338119848462412
I135,"(n,gamma)",25,6.559647251287327
I135,"(n,gamma)",26,5.032919508419325
I135,"(n,gamma)",27,3.480561771298602
I135,"(n,gamma)",28,2.65033335747637
I135,"(n,gamma)",29,1.9858169492310682
I135,"(n,gamma)",30,1.2724094065184055
I135,"(n,gamma)",31,0.35077428716822073
I135,"(n,gamma)",32,0.03915404169903225
I135,"(n,gamma)",33,0.005845752263449822
I135,"(n,gamma)",34,0.0011953329404445579
I135,"(n,gamma)",35,0.0009318745578192359
I135,"(n,gamma)",36,0.0007382750916647237
I135,"(n,gamma)",37,0.000588112783697812
I135,"(n,gamma)",38,0.0006367817885614343
I135,"(n,gamma)",39,0.0005806572289604035
I135,"(n,gamma)",40,0.00043829919004301064
I135,fission,1,0.0
I135,fission,2,0.0
I135,fission,3,0.0
I135,fission,4,0.0
I135,fission,5,0.0
I135,fission,6,0.0
I135,fission,7,0.0
I135,fission,8,0.0
I135,fission,9,0.0
I135,fission,10,0.0
I135,fission,11,0.0
I135,fission,12,0.0
I135,fission,13,0.0
I135,fission,14,0.0
I135,fission,15,0.0
I135,fission,16,0.0
I135,fission,17,0.0
I135,fission,18,0.0
I135,fission,19,0.0
I135,fission,20,0.0
I135,fission,21,0.0
I135,fission,22,0.0
I135,fission,23,0.0
I135,fission,24,0.0
I135,fission,25,0.0
I135,fission,26,0.0
I135,fission,27,0.0
I135,fission,28,0.0
I135,fission,29,0.0
I135,fission,30,0.0
I135,fission,31,0.0
I135,fission,32,0.0
I135,fission,33,0.0
I135,fission,34,0.0
I135,fission,35,0.0
I135,fission,36,0.0
I135,fission,37,0.0
I135,fission,38,0.0
I135,fission,39,0.0
I135,fission,40,0.0
Xe135,"(n,gamma)",1,3463514.179162204
Xe135,"(n,gamma)",2,2714404.752952916
Xe135,"(n,gamma)",3,2680897.5309843067
Xe135,"(n,gamma)",4,2817447.0472733844
Xe135,"(n,gamma)",5,2909636.066801
Xe135,"(n,gamma)",6,2591292.4474472236
Xe135,"(n,gamma)",7,1662209.3462827452
Xe135,"(n,gamma)",8,737912.684160877
Xe135,"(n,gamma)",9,356690.565729301
Xe135,"(n,gamma)",10,176598.10216922767
Xe135,"(n,gamma)",11,84191.04654922575
Xe135,"(n,gamma)",12,28288.58475500329
Xe135,"(n,gamma)",13,7587.448149682238
Xe135,"(n,gamma)",14,4140.657618025932
Xe135,"(n,gamma)",15,3460.0840639032963
Xe135,"(n,gamma)",16,3147.510873665545
Xe135,"(n,gamma)",17,2668.0362112852326
Xe135,"(n,gamma)",18,2287.41095797416
Xe135,"(n,gamma)",19,1832.3215563619412
Xe135,"(n,gamma)",20,1292.830399369934
Xe135,"(n,gamma)",21,820.6287614162625
Xe135,"(n,gamma)",22,523.8283406027449
Xe135,"(n,gamma)",23,343.12299630585574
Xe135,"(n,gamma)",24,193.62802643258354
Xe135,"(n,gamma)",25,110.16797155913633
Xe135,"(n,gamma)",26,35.16021311625641
Xe135,"(n,gamma)",27,5.078708422754814
Xe135,"(n,gamma)",28,1.3950868944117967
Xe135,"(n,gamma)",29,0.3539623755548349
Xe135,"(n,gamma)",30,0.053985712914630196
Xe135,"(n,gamma)",31,0.7704091537375769
Xe135,"(n,gamma)",32,0.1767205353165749
Xe135,"(n,gamma)",33,0.06581666706539019
Xe135,"(n,gamma)",34,0.022179872655359457
Xe135,"(n,gamma)",35,0.015080807099882469
Xe135,"(n,gamma)",36,0.012271508507965925
Xe135,"(n,gamma)",37,0.00915243980273111
Xe135,"(n,gamma)",38,0.005317370750673206
Xe135,"(n,gamma)",39,0.001621505782703313
Xe135,"(n,gamma)",40,0.0007319838556272936
Xe135,fission,1,0.0
Xe135,fission,2,0.0
Xe135,fission,3,0.0
Xe135,fission,4,0.0
Xe135,fission,5,0.0
Xe135,fission,6,0.0
Xe135,fission,7,0.0
Xe135,fission,8,0.0
Xe135,fission,9,0.0
Xe135,fission,10,0.0
Xe135,fission,11,0.0
Xe135,fission,12,0.0
Xe135,fission,13,0.0
