nuclides,reactions,groups,xs
H1,"(n,gamma)",1,0.3199734359059696
H1,"(n,gamma)",2,0.17916153513763072
H1,"(n,gamma)",3,0.12062582199300771
H1,"(n,gamma)",4,0.08195239423828017
H1,"(n,gamma)",5,0.04368614891250705
H1,"(n,gamma)",6,0.006231809607860624
H1,"(n,gamma)",7,0.0001439866912046863
H1,"(n,gamma)",8,3.567915182201946e-05
H1,"(n,2n)",1,0.0
H1,"(n,2n)",2,0.0
H1,"(n,2n)",3,0.0
H1,"(n,2n)",4,0.0
H1,"(n,2n)",5,0.0
H1,"(n,2n)",6,0.0
H1,"(n,2n)",7,0.0
H1,"(n,2n)",8,0.0
H1,"(n,p)",1,0.0
H1,"(n,p)",2,0.0
H1,"(n,p)",3,0.0
H1,"(n,p)",4,0.0
H1,"(n,p)",5,0.0
H1,"(n,p)",6,0.0
H1,"(n,p)",7,0.0
H1,"(n,p)",8,0.0
H1,"(n,a)",1,0.0
H1,"(n,a)",2,0.0
H1,"(n,a)",3,0.0
H1,"(n,a)",4,0.0
H1,"(n,a)",5,0.0
H1,"(n,a)",6,0.0
H1,"(n,a)",7,0.0
H1,"(n,a)",8,0.0
H1,"(n,3n)",1,0.0
H1,"(n,3n)",2,0.0
H1,"(n,3n)",3,0.0
H1,"(n,3n)",4,0.0
H1,"(n,3n)",5,0.0
H1,"(n,3n)",6,0.0
H1,"(n,3n)",7,0.0
H1,"(n,3n)",8,0.0
H1,"(n,4n)",1,0.0
H1,"(n,4n)",2,0.0
H1,"(n,4n)",3,0.0
H1,"(n,4n)",4,0.0
H1,"(n,4n)",5,0.0
H1,"(n,4n)",6,0.0
H1,"(n,4n)",7,0.0
H1,"(n,4n)",8,0.0
H1,fission,1,0.0
H1,fission,2,0.0
H1,fission,3,0.0
H1,fission,4,0.0
H1,fission,5,0.0
H1,fission,6,0.0
H1,fission,7,0.0
H1,fission,8,0.0
H2,"(n,gamma)",1,0.00048737609537379776
H2,"(n,gamma)",2,0.0002728960259171053
